Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi;2025;1293;57;1:23
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati;2025;79;12;1:7
Sekolah Tinggi Ilmu Kesehatan Brebes;2025;838;46;1:19
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama;2025;357;41;1:9
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;2025;297;25;1:12
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang;2025;353;24;1:15
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap;2025;51;0;-
Sekolah Tinggi Ilmu Kesehatan HAKLI;2025;238;30;1:8
Sekolah Tinggi Ilmu Kesehatan Kendal;2025;435;40;1:11
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro;2025;285;17;1:17
Sekolah Tinggi Ilmu Kesehatan Mambaul Ulum Surakarta;2025;0;0;-
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal;2025;0;0;-
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo;2025;70;7;1:10
Sekolah Tinggi Ilmu Kesehatan Nasional;2025;856;65;1:14
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo;2025;0;0;-
Sekolah Tinggi Ilmu Kesehatan Panti Kosala;2025;288;26;1:12
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa;2025;0;0;-
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo;2025;356;19;1:19
Sekolah Tinggi Ilmu Kesehatan Semarang;2025;307;15;1:21
Sekolah Tinggi Ilmu Kesehatan Serulingmas;2025;324;35;1:10
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas;2025;224;34;1:7
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto;2025;0;0;-
Sekolah Tinggi Ilmu Komputer Yos Sudarso;2025;427;30;1:15
Sekolah Tinggi Ilmu Komunikasi;2025;93;9;1:11
Sekolah Tinggi Ilmu Perikanan Kalinyamat;2025;0;0;-
Sekolah Tinggi Ilmu Pertanian Farming Semarang;2025;84;9;1:10
Sekolah Tinggi Kesehatan Ar-Rum;2025;79;12;1:7
Sekolah Tinggi Kesehatan Bina Cipta Husada;2025;357;41;1:9
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta;2025;616;26;1:24
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang;2025;518;31;1:17
Sekolah Tinggi Manajemen Informatika dan Komputer PGRI Arungbinang Kebumen;2025;189;14;1:14
Sekolah Tinggi Manajemen Informatika dan Komputer YMI;2025;260;0;-
Sekolah Tinggi Pariwisata Sahid Surakarta;2025;508;26;1:20
Sekolah Tinggi Teknik Pati;2025;113;18;1:7
Sekolah Tinggi Teknik Wiworotomo;2025;311;25;1:13
Sekolah Tinggi Teknologi Minyak dan Gas Cilacap;2025;0;0;-
Sekolah Tinggi Teknologi Muhammadiyah Kebumen;2025;0;0;-
Sekolah Tinggi Teknologi Ronggolawe;2025;854;33;1:26
Sekolah Tinggi Teknologi Warga Surakarta;2025;644;40;1:17
STIA Asuh Mitra Solo;2025;0;0;-
STIKES Bhakti Mandala Husada Slawi;2025;0;0;-
STIKES Estu Utomo;2025;1617;31;1:53
STIKES Ibnu Sina Ajibarang;2025;156;14;1:12
STIKES Karya Husada Semarang;2025;0;0;-
STIKES Mambaul Ulum Surakarta;2025;197;33;1:6
STIKES Mitra Husada Karanganyar;2025;957;50;1:20
STIKES Muhammadiyah Gombong;2025;0;0;-
STIKES Muhammadiyah Klaten;2025;0;0;-
STIKES Muhammadiyah Tegal;2025;0;0;-
STIKES Telogorejo Semarang;2025;879;88;1:10
STIMIK Tunas Bangsa Banjarnegara;2025;339;18;1:19
STKIP Darussalam Cilacap;2025;1012;22;1:46
STKIP Majenang;2025;653;32;1:21
STKIP Muhammadiyah Batang;2025;0;0;-
STKIP Muhammadiyah Blora;2025;226;7;1:33
STKIP Nahdlatul Ulama Kabupaten Tegal;2025;317;25;1:13
STMIK AKI Pati;2025;122;16;1:8
STMIK AMIKOM Surakarta;2025;0;0;-
STMIK AUB Surakarta;2025;0;0;-
STMIK Bina Patria;2025;532;21;1:26
STMIK Himsya;2025;137;13;1:11
STMIK Komputama Majenang;2025;0;0;-
STMIK Muhammadiyah Paguyangan Brebes;2025;0;0;-
STMIK Sinar Nusantara;2025;352;76;1:5
STMIK Widya Pratama;2025;750;51;1:15
STMIK Widya Utama;2025;1756;30;1:59
STMIK YMI Tegal;2025;0;0;-
STT Minyak dan Gas Cilacap;2025;122;17;1:8
Universitas 17 Agustus 1945 Semarang;2025;2657;211;1:13
Universitas Aisyiyah Surakarta;2025;1893;72;1:27
Universitas Aki;2025;1754;58;1:31
Universitas Al Hikmah Jepara;2025;150;38;1:4
Universitas Al-Irsyad Cilacap;2025;1367;93;1:15
Universitas Amikom Purwokerto;2025;2620;115;1:23
Universitas An Nuur;2025;1422;65;1:22
Universitas Bhamada Slawi;2025;2128;93;1:23
Universitas Bima Sakapenta;2025;76;47;1:2
Universitas Boyolali;2025;1359;47;1:29
Universitas Darul Ulum Islamic Centre Sudirman;2025;2029;72;1:29
Universitas Dharma AUB Surakarta;2025;786;89;1:9
Universitas Dian Nuswantoro;2025;12385;411;1:31
Universitas Duta Bangsa Surakarta;2025;4957;235;1:22
Universitas Harapan Bangsa;2025;2309;126;1:19
Universitas Islam Batik;2025;1436;69;1:21
Universitas Islam Nahdlatul Ulama Jepara;2025;6271;151;1:42
Universitas Islam Sultan Agung;2025;21975;580;1:38
Universitas Ivet;2025;3881;155;1:26
Universitas Karya Husada Semarang;2025;975;66;1:15
Universitas Katolik Soegijapranata;2025;6773;251;1:27
Universitas Kristen Satya Wacana;2025;16876;474;1:36
Universitas Kristen Surakarta;2025;463;42;1:12
Universitas Kusuma Husada Surakarta;2025;3379;121;1:28
Universitas Maarif Nahdlatul Ulama Kebumen;2025;1128;77;1:15
Universitas Maritim AMNI;2025;1624;73;1:23
Universitas Muhadi Setiabudi;2025;1158;95;1:13
Universitas Muhammadiyah Brebes;2025;344;56;1:7
Universitas Muhammadiyah Gombong;2025;1872;98;1:20
Universitas Muhammadiyah Karanganyar;2025;920;89;1:11
Universitas Muhammadiyah Kendal Batang;2025;588;62;1:10
Universitas Muhammadiyah Klaten;2025;2158;103;1:21
Universitas Muhammadiyah Kudus;2025;2067;191;1:11
Universitas Muhammadiyah Magelang;2025;3976;180;1:23
Universitas Muhammadiyah Pekajangan Pekalongan;2025;2068;125;1:17
Universitas Muhammadiyah Purwokerto;2025;17353;470;1:37
Universitas Muhammadiyah Purworejo;2025;5178;129;1:41
Universitas Muhammadiyah Semarang;2025;14363;376;1:39
Universitas Muhammadiyah Surakarta;2025;40853;814;1:51
Universitas Muhammadiyah Tegal;2025;391;59;1:7
Universitas Muria Kudus;2025;12311;244;1:51
Universitas Nahdlatul Ulama;2025;0;0;-
Universitas Nahdlatul Ulama Al Ghazali Cilacap;2025;2249;110;1:21
Universitas Nahdlatul Ulama Purwokerto;2025;1611;166;1:10
Universitas Nahdlatul Ulama Surakarta;2025;1017;60;1:17
Universitas Nasional Karangturi Semarang;2025;245;49;1:5
Universitas Ngudi Waluyo;2025;5378;168;1:33
Universitas Pancasakti;2025;0;0;-
Universitas Pancasakti Tegal;2025;4457;202;1:23
Universitas Pandanaran;2025;1176;60;1:20
Universitas Pekalongan;2025;5287;161;1:33
Universitas Peradaban;2025;1605;104;1:16
Universitas Perwira Purbalingga;2025;17621;343;1:52
Universitas PGRI Semarang;2025;498;38;1:14
Universitas Pignatelli Triputra;2025;483;57;1:9
Universitas Putra Bangsa;2025;1803;67;1:27
Universitas Safin Pati;2025;1135;115;1:10
Universitas Sahid Surakarta;2025;1600;69;1:24
Universitas Sains Alqur an;2025;4896;211;1:24
Universitas Sains Dan Teknologi Komputer;2025;4827;178;1:28
Universitas Selamat Sri;2025;3170;129;1:25
Universitas Semarang;2025;12784;378;1:34
Universitas Setia Budi Surakarta;2025;2438;132;1:19
Universitas Slamet Riyadi;2025;3854;181;1:22
Universitas Sragen;2025;215;35;1:7
Universitas Stikubank;2025;1872;109;1:18
Universitas Sugeng Hartono;2025;412;40;1:11
Universitas Sultan Fatah;2025;1044;64;1:17
Universitas Surakarta;2025;2115;117;1:19
Universitas Tidar Magelang;2025;0;0;-
Universitas Tunas Pembangunan Surakarta (UTP);2025;2517;118;1:22
Universitas Veteran Bangun Nusantara;2025;6696;162;1:42
Universitas Wahid Hasyim;2025;8504;254;1:34
Universitas Widya Dharma;2025;2383;112;1:22
Universitas Widya Husada Semarang;2025;1427;78;1:19
Universitas Wijaya Kusuma Purwokerto;2025;3910;111;1:36
Universitas YPPI Rembang;2025;346;37;1:10
