Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Universitas Muhammadiyah Purworejo;2021;4075;134;1:31
Universitas Muhammadiyah Semarang;2021;9601;319;1:31
Universitas Muhammadiyah Surakarta;2021;35605;743;1:48
Universitas Muhammadiyah Tegal;2021;0;0;-
Universitas Muria Kudus;2021;12753;248;1:52
Universitas Nahdlatul Ulama;2021;0;0;-
Universitas Nahdlatul Ulama Al Ghazali Cilacap;2021;2387;61;1:40
Universitas Nahdlatul Ulama Purwokerto;2021;1504;119;1:13
Universitas Nahdlatul Ulama Surakarta;2021;2542;99;1:26
Universitas Nasional Karangturi Semarang;2021;187;44;1:5
Universitas Ngudi Waluyo;2021;3442;125;1:28
Universitas Pancasakti;2021;0;0;-
Universitas Pancasakti Tegal;2021;8260;214;1:39
Universitas Pandanaran;2021;995;88;1:12
Universitas Pekalongan;2021;6610;196;1:34
Universitas Peradaban;2021;2308;120;1:20
Universitas Perwira Purbalingga;2021;321;30;1:11
Universitas PGRI Semarang;2021;14837;343;1:44
Universitas Pignatelli Triputra;2021;0;0;-
Universitas Putra Bangsa;2021;0;0;-
Universitas Safin Pati;2021;0;0;-
Universitas Sahid Surakarta;2021;1244;81;1:16
Universitas Sains Alqur an;2021;9874;263;1:38
Universitas Sains Dan Teknologi Komputer;2021;4795;183;1:27
Universitas Selamat Sri;2021;2708;135;1:21
Universitas Semarang;2021;21533;452;1:48
Universitas Setia Budi Surakarta;2021;2589;137;1:19
Universitas Slamet Riyadi;2021;7204;145;1:50
Universitas Sragen;2021;0;0;-
Universitas Stikubank;2021;5376;170;1:32
Universitas Sugeng Hartono;2021;0;0;-
Universitas Sultan Fatah;2021;972;95;1:11
Universitas Surakarta;2021;6170;193;1:32
Universitas Tidar Magelang;2021;0;0;-
Universitas Tunas Pembangunan Surakarta (UTP);2021;2607;132;1:20
Universitas Veteran Bangun Nusantara;2021;5481;169;1:33
Universitas Wahid Hasyim;2021;9273;194;1:48
Universitas Widya Dharma;2021;1936;187;1:11
Universitas Widya Husada Semarang;2021;1677;75;1:23
Universitas Wijaya Kusuma Purwokerto;2021;6671;150;1:45
Universitas YPPI Rembang;2021;0;0;-
Akademi Akuntansi Bima Sakapenta;2022;0;0;-
Akademi Akuntansi Effendi Harahap;2022;177;9;1:20
Akademi Akuntansi Muhammadiyah Klaten;2022;0;0;-
Akademi Analis Kesehatan 17 Agustus 1945;2022;123;6;1:21
Akademi Analis Kesehatan Pekalongan;2022;220;8;1:28
Akademi Bahasa Asing Harapan Bangsa;2022;0;0;-
Akademi Bahasa Asing IEC Putra Bangsa Tegal;2022;0;0;-
Akademi Bahasa Asing Prawira Martha Sukoharjo;2022;0;0;-
Akademi Bahasa Asing RA Kartini Surakarta;2022;0;0;-
Akademi Bahasa Asing St. Pignatelli;2022;0;0;-
Akademi Entrepreneurship Terang Bangsa;2022;18;19;1:1
Akademi Farmasi 17 Agustus 1945 Semarang;2022;33;7;1:5
Akademi Farmasi Kusuma Husada Purwokerto;2022;5;8;1:1
Akademi Inovasi Indonesia;2022;0;0;-
Akademi Kebidanan Bhakti Nusantara Salatiga;2022;0;0;-
Akademi Kebidanan Bhakti Pertiwi Pemalang;2022;0;0;-
Akademi Kebidanan Dulang Mas;2022;0;0;-
Akademi Kebidanan Duta Dharma;2022;0;0;-
Akademi Kebidanan Giri Satria Husada Wonogiri;2022;0;4;-
Akademi Kebidanan Graha Mandiri Cilacap;2022;0;0;-
Akademi Kebidanan Harapan Ibu Pekalongan;2022;42;8;1:6
Akademi Kebidanan Islam Al-hikmah;2022;0;0;-
Akademi Kebidanan KH Putra;2022;112;7;1:16
Akademi Kebidanan Mardi Rahayu;2022;20;15;1:2
Akademi Kebidanan Siti Fatimah;2022;39;7;1:6
Akademi Kebidanan Yappi Sragen;2022;0;10;-
Akademi Keperawatan Al-Hikmah Brebes;2022;173;12;1:15
Akademi Keperawatan Alkautsar Temanggung;2022;108;10;1:11
Akademi Keperawatan Giri Satria Husada;2022;58;9;1:7
